Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1903-1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1943-1944,0,0,0,0,0,0,2,3,3,0,0,0,8
1944-1945,0,0,0,0,2,5,9,8,2,0,0,0,26
1945-1946,0,0,0,0,3,5,3,5,1,1,0,0,18
1946-1947,0,0,0,0,0,2,4,3,2,1,0,0,12
1947-1948,0,0,0,0,1,8,11,7,2,0,0,0,29
1948-1949,0,0,0,0,0,4,5,5,4,0,0,0,18
1949-1950,0,0,0,0,1,3,3,6,5,2,0,0,20
1950-1951,0,0,0,0,0,4,3,3,3,0,0,0,13
1951-1952,0,0,0,0,0,5,7,7,4,0,0,0,23
1952-1953,0,0,0,0,0,3,7,3,0,2,1,0,16
1953-1954,0,0,0,0,0,1,11,1,0,1,0,0,14
1954-1955,0,0,0,0,0,3,3,5,5,0,0,0,16
1955-1956,0,0,0,0,2,4,4,6,10,2,0,0,28
1956-1957,0,0,0,0,0,6,8,3,3,2,0,0,22
1957-1958,0,0,0,0,1,1,6,5,6,1,0,0,20
1958-1959,0,0,0,0,0,7,5,4,6,0,0,0,22
1959-1960,0,0,0,0,0,5,7,4,10,0,0,0,26
1960-1961,0,0,0,0,0,6,7,2,7,1,0,0,23
1961-1962,0,0,0,0,1,5,2,12,0,1,0,0,21
1962-1963,0,0,0,1,1,7,6,6,4,0,0,0,25
1963-1964,0,0,0,0,0,9,5,6,2,0,0,0,22
1964-1965,0,0,0,0,0,6,9,5,7,0,0,0,27
1965-1966,0,0,0,0,0,4,9,6,2,0,0,0,21
1966-1967,0,0,0,0,0,4,3,15,7,1,0,0,30
1967-1968,0,0,0,0,1,4,10,4,3,0,0,0,22
1968-1969,0,0,0,0,1,3,1,8,4,0,0,0,17
1969-1970,0,0,0,0,0,11,7,6,4,1,0,0,29
1970-1971,0,0,0,0,0,11,8,4,4,2,0,0,29
1971-1972,0,0,0,0,0,5,2,10,5,3,0,0,25
1972-1973,0,0,0,1,1,6,1,5,1,1,0,0,16
1973-1974,0,0,0,0,0,0,4,10,1,1,0,0,16
1974-1975,0,0,0,0,1,2,3,6,4,1,0,0,17
1975-1976,0,0,0,0,1,5,6,4,6,0,0,0,22
1976-1977,0,0,0,0,0,6,7,6,3,0,2,0,24
1977-1978,0,0,0,0,1,4,10,2,4,0,0,0,21
1978-1979,0,0,0,0,3,3,4,5,0,2,0,0,17
1979-1980,0,0,0,0,0,0,1,4,4,0,0,0,9
1980-1981,0,0,0,0,2,7,9,1,2,0,0,0,21
1981-1982,0,0,0,0,0,9,7,3,4,2,0,0,25
1982-1983,0,0,0,0,0,3,2,4,0,0,0,0,9
1983-1984,0,0,0,0,0,3,8,0,5,0,0,0,16
1984-1985,0,0,0,0,0,1,8,4,2,0,0,0,15
1985-1986,0,0,0,0,1,7,2,9,2,0,0,0,21
1986-1987,0,0,0,0,2,5,8,4,3,2,0,0,24
1987-1988,0,0,0,0,2,4,6,4,4,0,0,0,20
1988-1989,0,0,0,0,0,2,1,6,4,2,0,0,15
1989-1990,0,0,0,0,1,7,6,4,2,1,0,0,21
1990-1991,0,0,0,0,0,1,5,6,2,0,0,0,14
1991-1992,0,0,0,0,0,2,2,6,5,1,0,0,16
1992-1993,0,0,0,0,0,2,7,9,11,1,0,0,30
1993-1994,0,0,0,0,0,4,12,10,9,0,0,0,35
1994-1995,0,0,0,0,2,1,4,4,0,1,0,0,12
1995-1996,0,0,0,0,2,M,M,M,M,M,M,M,M
1996-1997,M,M,M,M,M,M,M,M,M,M,M,M,M
1997-1998,M,M,M,M,1,M,3,1,1,0,M,M,M
1998-1999,M,M,M,M,M,M,8,4,6,0,M,M,M
1999-2000,M,M,M,M,M,M,3,5,1,M,M,M,M
2000-2001,M,M,M,M,M,M,8,7,8,0,0,0,M
2001-2002,0,0,0,0,0,2,5,1,1,0,0,0,9
2002-2003,0,0,0,0,1,6,7,6,4,1,0,0,25
2003-2004,0,0,0,0,0,4,6,2,5,0,0,0,17
2004-2005,0,0,0,0,2,4,10,7,7,0,0,0,30
2005-2006,0,0,0,0,1,5,5,2,1,1,0,0,15
2006-2007,0,0,0,0,0,1,3,5,4,0,0,0,13
2007-2008,0,0,0,0,0,5,2,6,1,0,0,0,14
2008-2009,0,0,0,0,0,8,7,3,2,0,0,0,20
2009-2010,0,0,0,0,0,5,5,6,1,0,0,0,17
2010-2011,0,0,0,0,1,5,9,5,3,0,0,0,23
2011-2012,0,0,0,2,0,0,5,2,1,0,0,0,10
2012-2013,0,0,0,0,1,4,7,9,4,0,0,0,25
2013-2014,0,0,0,0,1,5,8,10,2,1,0,0,27
2014-2015,0,0,0,0,3,2,9,17,7,0,0,0,38
2015-2016,0,0,0,0,0,1,4,4,1,2,0,0,12
2016-2017,0,0,0,0,0,4,3,5,2,0,0,0,14
