,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
35,1925-1926,3,11,4,0,0,0,0,0,0,0,0,9
36,1926-1927,7,0,2,1,0,0,0,0,0,0,1,0
37,1927-1928,7,4,2,0,0,0,0,0,0,0,3,3
38,1928-1929,8,8,4,0,0,0,0,0,0,0,2,8
39,1929-1930,7,7,1,0,0,0,0,0,0,0,1,2
40,1930-1931,5,M,5,0,0,0,0,0,0,0,0,2
41,1931-1932,4,M,5,0,0,0,0,0,0,0,0,6
42,1932-1933,4,5,8,1,0,0,0,0,0,0,3,7
43,1933-1934,4,7,4,0,0,0,0,0,0,0,0,4
44,1934-1935,M,6,3,3,0,0,0,0,0,0,1,1
45,1935-1936,M,M,3,0,0,0,0,0,0,0,2,1
46,1936-1937,4,0,5,0,0,0,0,0,0,0,1,M
47,1937-1938,8,5,2,1,1,0,0,0,0,0,2,4
48,1938-1939,11,4,6,1,0,0,0,0,0,0,1,3
49,1939-1940,6,9,1,1,0,0,0,0,0,0,3,2
50,1940-1941,8,2,7,0,0,0,0,0,0,0,0,1
51,1941-1942,3,4,4,1,0,0,0,0,0,0,0,4
52,1942-1943,7,3,2,0,0,0,0,0,0,0,0,1
53,1943-1944,4,3,6,0,0,0,0,0,0,0,1,4
54,1944-1945,10,12,2,0,0,0,0,0,0,0,4,6
55,1945-1946,8,7,1,2,0,0,0,0,0,0,0,5
56,1946-1947,4,3,2,3,0,0,0,0,0,0,2,10
57,1947-1948,12,9,4,0,0,0,0,0,0,0,1,2
58,1948-1949,6,6,4,0,0,0,0,0,0,0,2,2
59,1949-1950,4,7,4,0,0,0,0,0,0,0,0,5
60,1950-1951,8,6,5,0,0,0,0,0,0,0,0,4
61,1951-1952,9,8,4,0,0,0,0,0,0,0,0,4
62,1952-1953,9,6,2,2,0,0,0,0,0,0,0,0
63,1953-1954,13,6,2,1,0,0,0,0,0,0,0,5
64,1954-1955,6,4,8,1,0,0,0,0,0,0,2,5
65,1955-1956,5,11,11,2,0,0,0,0,0,0,1,8
66,1956-1957,8,3,4,3,0,0,0,0,0,0,1,0
67,1957-1958,7,9,6,1,0,0,0,0,0,0,1,6
68,1958-1959,7,7,10,0,0,0,0,0,0,0,2,6
69,1959-1960,7,6,6,0,0,0,0,0,0,0,0,5
70,1960-1961,7,3,7,4,0,0,0,0,0,0,3,4
71,1961-1962,2,12,4,1,0,0,0,0,0,0,2,3
72,1962-1963,5,5,6,0,0,0,0,0,0,0,0,10
73,1963-1964,4,8,5,0,0,0,0,0,0,0,0,7
74,1964-1965,11,8,8,1,0,0,0,0,0,0,0,6
75,1965-1966,11,9,2,0,0,0,0,0,0,0,0,7
76,1966-1967,1,13,7,3,0,0,0,0,0,0,1,4
77,1967-1968,9,3,4,0,0,0,0,0,0,0,1,7
78,1968-1969,3,10,5,0,0,0,0,0,0,0,0,8
79,1969-1970,12,4,5,1,0,0,0,0,0,0,0,11
80,1970-1971,10,8,4,2,0,0,0,0,0,0,3,7
81,1971-1972,3,9,5,2,0,0,0,0,0,0,1,6
82,1972-1973,3,4,1,0,0,0,0,0,0,0,0,0
83,1973-1974,5,6,1,1,0,0,0,0,0,0,2,2
84,1974-1975,4,7,4,3,0,0,0,0,0,0,1,6
85,1975-1976,8,3,10,0,0,0,0,0,0,0,1,3
86,1976-1977,10,6,3,0,1,0,0,0,0,0,1,6
87,1977-1978,11,3,5,0,0,0,0,0,0,0,3,3
88,1978-1979,7,4,0,2,0,0,0,0,0,0,0,3
89,1979-1980,1,4,3,0,0,0,0,0,0,0,2,5
90,1980-1981,7,1,2,0,0,0,0,0,0,0,0,10
91,1981-1982,10,5,4,2,0,0,0,0,0,0,0,8
92,1982-1983,2,5,1,0,0,0,0,0,0,0,0,3
93,1983-1984,10,1,6,0,0,0,0,0,0,0,0,5
94,1984-1985,7,6,6,1,0,0,0,0,0,0,3,5
95,1985-1986,2,10,2,0,0,0,0,0,0,0,2,3
96,1986-1987,11,2,5,2,0,0,0,0,0,0,3,4
97,1987-1988,4,3,3,0,0,0,0,0,0,0,0,3
98,1988-1989,3,6,4,1,0,0,0,0,0,0,2,6
99,1989-1990,4,7,2,1,0,0,0,0,0,0,0,1
100,1990-1991,6,6,5,0,0,0,0,0,0,0,0,5
101,1991-1992,2,7,5,1,0,0,0,0,0,0,1,4
102,1992-1993,7,10,12,2,0,0,0,0,0,0,0,5
103,1993-1994,14,10,8,0,0,0,0,0,0,0,1,4
104,1994-1995,4,7,2,0,0,0,0,0,0,0,2,11
105,1995-1996,11,5,6,4,0,0,0,0,0,0,2,2
106,1996-1997,8,5,5,1,0,0,0,0,0,0,4,5
107,1997-1998,6,1,2,0,0,0,0,0,0,0,0,2
108,1998-1999,9,4,5,0,0,0,0,0,0,0,0,0
109,1999-2000,5,7,1,0,0,0,0,0,0,0,0,6
110,2000-2001,6,9,12,0,0,0,0,0,0,0,0,3
111,2001-2002,7,2,3,1,0,0,0,0,0,0,2,5
112,2002-2003,11,7,4,4,0,0,0,0,0,0,0,5
113,2003-2004,6,1,5,0,0,0,0,0,0,0,2,3
114,2004-2005,12,7,6,0,0,0,0,0,0,1,0,4
115,2005-2006,7,3,0,0,0,0,0,0,0,0,0,3
116,2006-2007,3,3,4,2,0,0,0,0,0,0,0,7
117,2007-2008,2,9,1,0,0,0,0,0,0,0,0,6
118,2008-2009,9,5,3,0,0,0,0,0,0,1,0,5
119,2009-2010,6,4,1,0,0,0,0,0,0,0,0,6
120,2010-2011,9,6,4,1,0,0,0,0,0,2,0,0
121,2011-2012,7,1,3,0,0,0,0,0,0,0,2,5
122,2012-2013,6,9,5,0,0,0,0,0,0,0,0,7
123,2013-2014,8,10,3,1,0,0,0,0,0,0,2,1
124,2014-2015,10,16,7,0,0,0,0,0,0,0,0,1
125,2015-2016,4,7,2,2,0,0,0,0,0,0,0,5
