,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
111,2001-2002,7.9,0.5,1.4,0.3,0,T,0,0,0,T,3.6,11.1
112,2002-2003,4.2,41.6,8.1,2.3,0,0,0,0,0,T,0,21.5
113,2003-2004,4.9,2.4,10.6,T,0,0,T,0,0,0,3.9,7.2
114,2004-2005,43.3,17.7,14.5,T,0,0,0,0,0,1.1,T,10.7
115,2005-2006,8.1,20,T,T,0,0,0,0,0,0,0,0.8
116,2006-2007,1,4.6,10.2,0.5,0,0,0,0,0,0,T,26.9
117,2007-2008,8.3,15,1,0,0,0,0,0,0,0,T,25.3
118,2008-2009,23.7,6.2,10.7,0,0,0,0,0,0,0.1,0,15.2
119,2009-2010,13.2,7,0.2,0,0,0,0,0,0,0,T,22
120,2010-2011,38.3,18.5,1.3,0.9,0,T,0,0,0,1,T,T
121,2011-2012,6.8,0.9,0.6,0,0,T,0,0,0,0,0.4,3.4
122,2012-2013,5,34,20.6,T,0,0,0,0,0,0,T,11.7
123,2013-2014,21.8,22.9,2.2,0.3,0,0,0,0,0,0,2.6,0.3
124,2014-2015,34.3,64.8,8.6,T,0,0,0,T,0,T,0,0.9
125,2015-2016,9.5,15,4.1,6.6,0,0,0,0,0,0,T,5.9
