Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2000,23.9,31,40.9,45.3,56.7,66,68.2,68.2,62.1,51.8,40.8,26.2,48.4
2001,26.2,28.9,32.9,47.2,59.5,69.3,68.7,73.1,64.6,54.7,46,37.5,50.7
2002,33.4,32.9,37.7,48.8,55.3,64.5,72.1,73.2,66,49.6,39.7,29.5,50.2
2003,19.7,23.1,34.6,42.5,54.3,64,72.9,72.4,63.6,50.1,43.6,32.8,47.8
2004,16.7,27.7,36.4,46,58.9,64.8,69.7,70.1,63.7,51.1,41.6,31.4,48.2
2005,24.2,29.3,32.7,49.4,51.2,68.2,72.2,73.9,66.6,52.3,44.5,29.8,49.5
2006,33.3,29.1,36.5,49.5,56,66.6,74.4,69.6,62.4,51.6,47.1,38,51.2
2007,30,22.8,34.9,44,59.6,65.7,71.9,71.9,65.6,57.4,40.5,29,49.4
2008,30,30,34.9,48.8,55.3,68.2,74.3,68.8,63.7,51.2,41.1,32.7,49.9
2009,21.1,29.4,35.3,M,M,M,68.7,72.2,61.1,M,M,M,48
2010,M,M,M,51.8,61.1,68.6,75.5,72,M,M,M,M,65.8
2011,24.5,27.1,36.6,48.1,57.8,65.6,74.5,71.4,65.6,54.4,47.8,36.9,50.9
2012,30.8,34.3,43.4,50.6,59.7,65,74.6,73.5,64,54.7,40.4,36.4,52.3
2013,28.4,28.6,35,47.9,59,67.8,75.3,69.7,62.9,54.2,40.1,30.9,50
2014,24,26.4,29.7,46.6,58.5,66.9,72.5,69.4,65.6,54.7,40,36,49.2
2015,22.6,15.5,30.3,46.7,62.5,64.3,72.9,73.6,68.6,51.6,46.4,42.9,49.8
2016,28.8,31.5,40.6,45.9,57.2,67.6,75.2,75,66.4,54,43.9,32.6,51.6
2017,32.4,33.1,31.5,50.5,55.2,67.6,71.2,71,66.5,59.5,41.5,M,52.7
