Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1974,26.3,23.9,33.5,47.5,52.4,63.9,69.7,69.7,59.7,45.7,39.4,30.4,46.8
1975,27.4,25.1,31.3,40.8,60,63.5,71.8,67.5,57.3,51.5,45.2,27.3,47.4
1976,19.2,31.2,35.1,49.1,55,68,67.8,67.2,58.9,46.3,34.6,21.9,46.2
1977,16.2,24.9,39.1,45.9,58.1,62.4,69.3,68.5,59.6,49.3,41,26,46.7
1978,20.9,20,30.7,42.4,56.5,64.3,68.1,68,57.6,48.3,39.2,28.8,45.4
1979,25.2,16.5,38.1,44.7,57.7,63.6,71.2,67.6,60,49,44.3,31.8,47.5
1980,25,22.2,33.1,46,57,61.5,71.3,69.9,61.1,47.3,36.3,24.2,46.2
1981,15.9,32.8,34.7,47.3,57.9,66,70.6,67.4,58.2,46.7,39.1,27.8,47
1982,17,25.7,33.7,43.6,58.3,61.4,71.5,65.9,61.3,50.8,43.8,34.8,47.3
1983,26,29.1,36.6,46.6,54.7,67.9,72.3,70.2,64.9,50.3,42,27.3,49
1984,22.7,33.9,29.2,45.6,55.4,68.1,69.9,71.4,59.6,53.9,41,34.9,48.8
1985,20.1,28.6,37.2,47.4,57.8,61.4,70.4,67.9,62,51.7,40.9,25.3,47.6
1986,25.9,23.1,36.4,48.1,57.9,62.6,68.1,66.7,59.4,49.6,37.1,30.2,47.1
1987,24,24.4,36.8,45.7,57.5,65.7,70.7,66.6,60.5,48.8,39.4,30.8,47.6
1988,23,26.6,35,43.8,57.3,64.6,72.6,72.3,60.2,45.5,41.7,27.1,47.5
1989,28.5,24.4,33,42.3,56.9,64,68.7,67.3,60.6,50.7,36.5,15.1,45.7
1990,31.3,28.8,36.2,43.9,51.4,64.6,69.1,68.8,59.3,53,42.1,33.9,48.5
1991,23.8,30.3,36.4,48.2,61.2,64.7,70,69,58.6,51.9,40.2,29.6,48.7
1992,25.3,27.1,30.7,42.3,55.4,63.5,65.8,65.5,59.2,46.8,37.7,28.7,45.7
1993,26,19.6,31.3,45.7,57.7,64.5,70.3,69.9,59.5,47.1,39.7,28.9,46.7
1994,15.9,21,33.5,47.7,54.3,67.2,72.9,66.3,59,50.9,43.5,33.3,47.1
1995,29.8,22.9,36.1,42.6,54.3,65.4,71.7,68.4,59.4,53.5,35.5,24.1,47
1996,23.4,24.9,31.5,45.3,54.8,65.9,68.2,68.9,61.1,49.6,35.9,33.2,46.9
1997,23.6,30.4,31.9,43.5,52.1,65.7,69.1,67.6,60.3,48.8,36.2,30,46.6
1998,29.6,32.9,36.9,47.2,59.6,62.9,69.9,70.3,63.1,50.3,40.2,35.7,49.9
1999,26,31.2,36.3,46.7,58.1,68.2,72.4,68.5,64.6,49,44.5,32.9,49.9
2000,23,30,40.4,44.7,56.1,64.5,66.5,66.8,59.5,50.1,39.2,23.7,47
2001,24.7,26.1,31.1,46.8,58.1,67,66.6,72.2,62.2,52.4,44.5,35.3,48.9
2002,31.8,32.1,36,47.6,54.1,63.4,70.8,71.1,64.7,47.7,37.6,28.1,48.8
2003,17.7,22,34.9,42.5,54,63.8,70.6,70.7,62.5,48.7,43.3,31.2,46.8
2004,15.1,27.4,35.8,47.3,58.4,64.1,69,68.8,62.7,49.9,40.6,29.4,47.4
2005,22.1,28.6,30.9,49.3,51.4,68.5,71.4,72.5,65.4,51.5,42.1,27.2,48.4
2006,32.4,26.6,35.7,49.3,55.6,66,73.4,68.7,60.8,50,45.9,36.3,50.1
2007,28.4,20.7,33.5,43.4,59.3,65.4,71,70.1,64.4,56.5,38.2,27.5,48.2
2008,27.9,26.9,34.2,49.3,55,67.8,72.6,68.1,63.4,49.7,38.4,29.2,48.5
2009,18.9,28.2,35.3,48.3,57.1,61.9,66.8,70.3,59.9,47.9,44.5,27.8,47.2
2010,24.5,27.6,41.1,51.1,60.6,67.4,74,70,63.8,50.2,40.3,26.8,49.8
2011,21.9,25,34.2,47.4,58,64.6,73,69.5,64.6,52.1,46.8,36.1,49.4
2012,29.2,33,43.9,49.2,60.9,64.9,73.2,71.9,61.7,53,39.2,34.1,51.2
2013,26.8,27.4,33.7,46,57.5,65.9,74.1,67.7,60.4,51.6,37.6,27.7,48
2014,21.8,23.1,28.3,45.3,56.5,66.1,70.4,67.2,61.6,52.2,37.7,32.6,46.9
2015,20.9,14.2,29.7,46.1,62.5,64.4,71.9,70.7,66.1,49.4,44.5,41.4,48.5
2016,27.2,29.5,40,44.2,57,65.6,72.3,72.2,64.1,51.4,42.4,29.6,49.6
2017,29.8,32.1,29.8,49.6,53.8,65.4,69.2,68.1,64.4,58,39.2,M,50.9
